Unnamed: 0,Date,text_headlines
167,2018-08-25 08:44:00,opinion                                                                                                        these seven stocks prove that retail is roaring
169,2018-08-22 02:45:00,this is why urban outfitters shares are down despite beating earnings expectations
176,2018-08-10 08:22:00,                                                                                                        retail stocks still look cheap
182,2018-06-12 09:41:00,urban outfitters stock price target raised to $40 from $38 at instinet
183,2018-05-23 09:57:00,urban outfitters stock price target raised to $38 from $35 at instinet
184,2018-05-23 08:00:00,urban outfitters stock price target raised to $45 from $39 at wells fargo
185,2018-05-22 05:36:00,urban outfitters shares down 4percent after earnings
186,2018-05-21 02:14:00,                                                                                                        specialty retail 3 stocks that current trends could boost
194,2018-03-07 04:34:00,s&p 500 dow close lower on cohn resignation; nasdaq extends win streak
195,2018-03-07 08:21:00,urban outfitters shares down 27percent in premarket trading after late-tuesday earnings announcement
199,2018-02-09 01:25:00,urban outfitters shares rise in friday trading after fourth-quarter sales growth
200,2018-02-09 00:33:00,urban outfitters shares up 35percent in friday trading
202,2018-01-22 07:36:00,opinion                                                                                                        how to find companies that will benefit most from the trump tax cuts
203,2018-01-09 09:54:00,urban outfitters shares drop after same-store sales fall short
204,2018-01-09 08:34:00,urban outfitters shares down 41percent in tuesday premarket trading
205,2017-12-13 08:27:00,urban outfitters price target raised to $38 from $34 at jp morgan
206,2017-12-12 10:47:00,urban outfitters stock price target raised to $32 from $28 at wells fargo
207,2017-12-12 07:34:00,urban outfitters stock price target raised to $35 from $30 at suntrust rh
211,2017-11-24 07:31:00,here is goldman’s black friday play for retail stocks
213,2017-11-21 09:03:00,urban outfitters stock price target raised to $26 from $20 at instinet
214,2017-11-21 08:11:00,urban outfitters stock price target raised to $30 from $21 at rbc capital
215,2017-11-21 08:09:00,urban outfitters stock price target raised to $20 from $16 at mkm partners
216,2017-11-21 07:54:00,urban outfitters stock price target raised to $30 from $22 at suntrust rh
217,2017-11-21 07:51:00,urban outfitters stock price target raised to $34 from $26 at jp morgan
219,2017-11-21 07:35:00,urban outfitters shares up 26percent premarket
222,2017-11-20 04:17:00,urban outfitters shares jump 10percent on record sales for retailer
224,2017-11-20 04:07:00,urban outfitters comparable-store sales rise 1percent
