Unnamed: 0,Date,text_headlines
299,2017-03-01 10:40:00,abercrombie & fitch earnings here’s what may signal the company is out of ideas
310,2017-02-07 04:24:00,urban outfitters shares slip after sales same-store sales fall short of estimates
312,2017-02-07 04:11:00,urban outfitters q4 same-store sales flat; factset consensus 14percent
313,2017-02-07 04:10:00,urban outfitters q4 sales total $103b up from $101b lsat year; factset consensus $105b
314,2017-02-04 11:39:00,trump border tax would be a major blow for the troubled retail and restaurant sector
323,2017-01-09 08:13:00,urban outfitters' stock set for selloff after disappointing retail same-store sales over the holidays
325,2017-01-09 07:55:00,urban outfitters retail store same-store sales were lower than expected
326,2017-01-09 07:55:00,urban outfitters holiday-period same-store sales up 15percent
327,2017-01-09 07:54:00,urban outfitters sales for 2 months ended dec 31 up 3percent from a year ago
336,2016-11-28 04:28:00,projected holiday sales gain cut after weaker thanksgiving weekend showing
339,2016-11-23 04:06:00,urban outfitters earnings suggest the company is a fashion victim
341,2016-11-23 10:13:00,urban outfitters shares down 10percent after late tuesday earnings announcement
343,2016-11-23 07:17:00,urban outfitters downgraded to hold from buy at wunderlich securities
344,2016-11-22 08:52:00,urban outfitters shares slip after earnings miss
347,2016-11-22 04:15:00,urban outfitters shares tank after company misses eps sales expectations
349,2016-11-22 04:08:00,urban outfitters q3 sales $862 million vs expectations $869 million
351,2016-11-22 02:40:00,questions remain for deere urban outfitters others ahead of earnings
357,2016-11-10 07:29:00,urban outfitters upgraded to buy from hold at wunderlich securities
358,2016-10-31 00:07:00,opinion                                                                                                        is buying a pair of ivanka trump shoes a political endorsement
360,2016-09-10 02:28:00,wave of profit and sales warnings puts spotlight on new risks companies face
364,2016-08-30 07:00:00,what to watch for in abercrombie & fitch earnings
366,2016-08-22 08:48:00,urban outfitters downgraded to neutral from buy at goldman sachs
368,2016-08-18 06:56:00,urban outfitters says selling its own unique line of products is paying off
371,2016-08-17 10:22:00,urban outfitters upgraded to buy from hold at evercore isi
372,2016-08-17 09:42:00,breaking                    shares of urban outfitters soar 16percent after earnings beat
375,2016-08-17 08:22:00,buy your insurance now against the boogeymen lurking in this market
382,2016-08-16 05:27:00,urban outfitters profit rises as sales gain
383,2016-08-16 04:15:00,urban outfitters shares up 10percent after earnings beat
385,2016-08-16 04:07:00,urban outfitters q2 sales $891 million vs expectations $886 million
386,2016-08-16 04:06:00,urban outfitters shares up 6percent after earnings
389,2016-07-12 07:31:00,earnings season kicks off here’s 5 things you need to know
392,2016-06-10 01:44:00,urban outfitters stumbles on lower q2 sales
397,2016-06-09 05:36:00,urban outfitters warns of weak sales shares fall
398,2016-06-09 04:40:00,urban outfitters shares drop after second-quarter same-store sales warning
402,2016-05-23 02:35:00,since no one is buying clothes here’s what stores are selling instead
405,2016-05-18 06:30:00,urban outfitters reports higher sales
409,2016-04-01 03:28:00,most stocks rose during the first quarter — surprised
411,2016-04-01 09:35:00,urban outfitters shares rise 35percent at $3421 to lead s&p 500 advancers
427,2016-03-07 04:42:00,urban outfitters profit falls but tops forecasts
428,2016-03-07 04:19:00,urban outfitters shares rally as earnings beat wall street's expectations
429,2016-03-07 04:09:00,breaking                    urban outfitters jumps 6percent following fourth-quarter earnings
431,2016-03-07 04:07:00,breaking                    urban outfitters q4 earnings 61c a share vs 60c a share
432,2016-03-07 10:17:00,how ‘panic buying’ could send stock market rally into overdrive
436,2016-02-09 05:01:00,urban outfitters sales flat for holiday quarter
437,2016-02-09 04:26:00,urban outfitters q4 full-year sales miss estimates
438,2016-02-09 04:14:00,urban outfitters full-year 2015 sales total $34b up from $33b last year; factset consensus $35b
439,2016-02-09 04:12:00,urban outfitters q4 same-store sales decrease 2percent
440,2016-02-09 04:11:00,urban outfitters q4 sales total $101 billion flat with last year; factset estimate $102 billion
441,2016-01-07 04:20:00,urban outfitters says holiday same-store sales fell 2percent for retail segment
442,2016-01-07 04:12:00,urban outfitters reports 2percent same-store sales decrease for retail segment for two months ending dec 31
443,2016-01-07 04:10:00,urban outfitters reports flat total company sales for the two months ending dec 31
449,2015-11-17 11:16:00,urban outfitters cheap enough to buy
457,2015-11-17 08:13:00,urban outfitters downgraded to hold from buy at cantor fitzgerald
459,2015-11-17 08:06:00,urban outfitters downgraded to sector perform from outperform at rbc capital
464,2015-11-17 07:19:00,morning movers wal-mart home depot leap on earnings; urban outfitters tumbles
466,2015-11-16 05:52:00,urban outfitters shares fall as sales disappoint
467,2015-11-16 04:33:00,urban outfitters shares drop in after-hours after q3 sales miss estimates
468,2015-11-16 04:15:00,urban outfitters q3 comparable retail segment sales increased 1percent
474,2015-11-15 08:00:00,battered retail sector faces another round of earnings reports
475,2015-11-11 02:20:00,why macy’s earnings are bad news for tiffany kors urban outfitters
481,2015-10-19 07:54:00,urban outfitters downgraded to hold from buy at wunderlich
483,2015-10-19 07:49:00,urban outfitters downgraded to hold from buy at wunderlich securities
489,2015-09-09 06:24:00,british fashion retailer primark aiming for big sales in the us
491,2015-08-18 06:01:00,yum brands shares rise on new china ceo
494,2015-08-17 06:12:00,urban outfitters shares volatile after earnings beat
495,2015-08-17 04:48:00,stocks rebound from early losses; dow rises for third session
496,2015-08-17 04:13:00,urban outfitters reports record sales beats on earnings
497,2015-08-16 06:01:00,wal-mart target earnings on tap following strong consumer data
502,2015-07-14 00:11:00,urban outfitters upgraded to buy from hold at jefferies
506,2015-06-12 09:42:00,urban outfitters' stock rises 11percent in morning trade after analyst upgrade
508,2015-06-12 09:39:00,urban outfitters upgraded to buy from hold at bb&t capital
510,2015-05-19 05:17:00,etsy shares fall after results show surprise loss
513,2015-05-19 09:32:00,urban outfitters falls 14percent for s&p 500's biggest drop
519,2015-05-18 05:44:00,urban outfitters shares drop after earnings miss
520,2015-05-18 04:31:00,urban outfitters' profit sales miss expectations
521,2015-05-18 04:13:00,urban outfitters' stock plunges after profit sales disappoint
523,2015-05-18 04:04:00,urban outfitters q1 same-store sales up 4percent vs factset consensus 52percent
525,2015-05-18 04:03:00,urban outfitters q1 total sales $739 mln vs $6863 mln; factset consensus $758 mln
529,2015-05-17 09:00:00,big retailers cap earnings season against backdrop of weak sales
533,2015-04-14 09:30:00,breaking                    urban outfitters shares rise 32percent
545,2015-03-09 07:11:00,urban outfitters shares rise after earnings top street view
546,2015-03-09 04:41:00,profit at urban outfitters falls 95percent
547,2015-03-09 04:18:00,urban outfitters shares rise after q4 profit tops estimates
548,2015-03-09 04:04:00,urban outfitters shares rise 25percent in after-hours trading
549,2015-03-09 04:03:00,urban outfitters factset q4 eps consensus 57 cents; sales $101 bln
550,2015-03-09 04:03:00,urban outfitters q4 sales $101 bln vs $9059 mln
553,2015-02-26 04:39:00,urban outfitters announces $20 million share buyback
557,2015-02-09 05:44:00,urban outfitters shares rise after january sales top estimates
558,2015-02-09 04:55:00,urban outfitters shares climb after january same-store sales increase
560,2015-02-09 04:08:00,breaking                    urban outfitters jan same-store sales rise 6percent shares up 4percent
561,2015-01-08 02:09:00,retailers’ ‘strong’ sales figures exaggerated by low expectations
562,2015-01-08 11:42:00,low gas prices boost sales for retailers
563,2015-01-08 08:37:00,american eagle aeropostale urban outfitters rise on profit or sales beat
564,2014-12-11 05:56:00,adobe shares rally on earnings beat
566,2014-12-11 09:24:00,urban outfitters' stock rallies after upbeat sales outlook
568,2014-11-20 06:27:00,gamestop shares drop on earnings weak outlook
569,2014-11-18 04:41:00,la-z-boy shares rally after earnings beat targets
574,2014-11-18 07:33:00,urban outfitters stock falls 61percent premarket after q3 results late monday
575,2014-11-17 06:01:00,updates advisories and surprises
576,2014-11-17 04:43:00,urban outfitters slides after earnings miss expectations
578,2014-11-17 04:12:00,urban outfitters' stock falls after profit same-store sales miss
579,2014-11-17 04:03:00,urban outfitters' stock falls 25percent in after-hours trade after q3 results
580,2014-11-17 04:03:00,urban outfitters same-store sales down 1percent vs factset consensus of flat
581,2014-11-17 04:02:00,urban outfitters q3 sales up 5percent to $8145 mln vs factset consensus $8112 mln
584,2014-11-17 09:11:00,ford may be a buy but us stocks look stretched vs the rest of the world
585,2014-11-17 06:12:00,retailers close out earnings season
587,2014-10-20 06:03:00,why the stocks you’re buying now may be the riskiest
591,2014-10-17 08:36:00,urban outfitters cut to neutral from buy at janney
593,2014-10-17 08:31:00,urban outfitters cut to neutral from buy at janney
594,2014-10-17 08:19:00,morgan stanley climbs after earnings; urban outfitters slides
595,2014-10-16 06:23:00,google amd shares drop as earnings miss
596,2014-10-16 05:05:00,breaking                    urban outfitters shares fall 13percent on sales warning
597,2014-10-16 04:24:00,urban outfitters third-quarter negative sales trend has continued
598,2014-10-16 04:16:00,urban outfitters says third-quarter negative sales trend has continued
599,2014-09-25 08:26:00,10 retailers that are primed for huge sales growth
605,2014-08-18 05:23:00,urban outfitters profit falls on higher expenses
606,2014-08-18 04:21:00,urban outfitters profit dips but sales rise
608,2014-08-18 04:10:00,urban outfitters q2 earnings 49 cents a share
613,2014-07-01 02:28:00,twitter gains on new cfo; gm sales up in june
616,2014-06-18 10:02:00,gap raised by canaccord to buy
621,2014-05-20 04:31:00,updates advisories and surprises
622,2014-05-20 04:08:00,staples sinks on earnings; gm slides on more recalls
625,2014-05-20 09:05:00,retail shares tank in premarket on disappointing profit sales
627,2014-05-19 05:05:00,urban outfitters shares fall on earnings miss
628,2014-05-19 05:03:00,us stocks gain as apple russell 2000 rise 1percent
629,2014-05-19 04:48:00,home depot staples salesforcecom are stocks to watch
630,2014-05-19 04:28:00,urban outfitters profit down 20percent as costs rise
631,2014-05-19 04:18:00,breaking                    urban outfitters shares fall 4percent after earnings
632,2014-05-19 04:18:00,urban outfitters drops as namesake chain's sales miss
634,2014-05-19 04:04:00,urban outfitters posts flat q1 comparable sales
645,2014-03-10 05:52:00,urban outfitters shares decline after earnings
646,2014-03-10 05:24:00,breaking                    urban outfitters shares drop 4percent at earnings call
652,2014-02-10 04:11:00,urban outfitters q4 same-store sales rose 1percent
654,2014-02-10 04:05:00,breaking                    urban outfitters q4 same-store sales rose 1percent
657,2014-01-27 05:27:00,stocks to watch apple to dominate monday’s earnings
659,2014-01-02 04:15:00,corrected                                                                                                        apple closes lower; b of a rises on analyst call
667,2013-11-19 04:25:00,best buy falls 11percent on warning; tesla fires in focus
669,2013-11-19 05:30:00,best buy home depot salesforce are stocks to watch
670,2013-11-18 09:06:00,salesforce shares volatile brocade up after earnings
671,2013-11-18 05:31:00,updates advisories and surprises
673,2013-11-18 04:06:00,breaking                    urban outfitters shares rise 2percent after results
677,2013-11-18 06:33:00,salesforce urban outfitters tyson are stocks to watch
684,2013-09-10 01:07:00,breaking                    urban outfitters down 97percent to $3856 in big volume
687,2013-08-28 06:22:00,urban outfitters authorizes 10 mln stock buy plan
690,2013-08-20 04:20:00,us stocks rise after four-session slide
695,2013-08-20 09:06:00,best buy jc penney are stocks to watch tuesday
697,2013-08-19 05:19:00,urban outfitters shares rise after hours
706,2013-05-21 10:06:00,best buy home depot are tuesday’s stocks to watch
713,2013-04-02 08:58:00,urban outfitters up on first-quarter sales comment
715,2013-03-11 05:28:00,urban outfitters doubles profit on sales margins
722,2013-01-10 11:05:00,urban outfitters shares gain on holiday sales
729,2012-12-31 00:53:00,retailers gird for disappointing december sales
731,2012-12-26 09:46:00,disappointing holiday sales dent retail stocks
735,2012-12-11 10:05:00,urban outfitters up on sales; dollar general drops
736,2012-11-20 09:46:00,brown shoe chico's up; best buy slumps
740,2012-11-19 04:24:00,urban outfitters profit rises on margin growth
742,2012-11-19 09:51:00,big earnings on monday rallies for lowe’s tyson
748,2012-09-13 08:11:00,citigroup rates eight out of 12 retailers as buys
749,2012-09-13 07:56:00,citi rates sig tif kors aeo rost tjx as buys
752,2012-09-13 07:56:00,citi rates ascena limited as buys
754,2012-08-21 05:44:00,best buy hits 9-year low; urban outfitters rallies
755,2012-08-21 05:11:00,us stocks lose steam as apple falls
756,2012-08-21 05:01:00,updates advisories and surprises
759,2012-08-21 02:37:00,radio update 50 shades of e-book sales
760,2012-08-21 10:15:00,urban outfitters shares jump on earnings beat
764,2012-08-21 07:30:00,breaking                    urban outfitters shares rise 17percent in preopen trade
770,2012-08-20 04:31:00,updates advisories and surprises
782,2012-05-22 10:14:00,urban outfitters ralph lauren up; best buy down
783,2012-05-21 05:01:00,updates advisories and surprises
786,2012-05-21 04:45:00,stocks to watch tuesday best buy autozone
789,2012-05-21 04:08:00,breaking                    urban outfitters shares rise 23percent after q1 results
792,2012-05-21 04:06:00,urban outfitters q1 sales $5689 mln vs $524 mln
797,2012-04-04 03:13:00,march sales to see continued shopper muscle
798,2012-04-03 09:39:00,best buy cut to sell; urban outfitters upgraded
800,2012-04-03 09:19:00,urban outfitters rises after sales comments
804,2012-03-13 09:50:00,retail sales data lift sector stocks; urban drops
815,2012-03-12 04:32:00,urban outfitters profit falls 48percent
822,2012-02-22 09:35:00,urban outfitters shares rise 4percent s&p 500 best
824,2012-02-09 10:26:00,urban outfitters sees sales falling short of views
846,2011-12-13 10:09:00,best buy weighs on retail sector
847,2011-12-13 09:38:00,urban outfitters inc shares rise 84percent
848,2011-12-13 09:03:00,us stock futures hold gains after retail sales
850,2011-12-13 06:30:00,stocks to watch tuesday best buy medtronic
859,2011-11-14 05:03:00,urban outfitters profit falls 31percent
860,2011-11-14 04:10:00,urban outfitters third-quarter profit falls
865,2011-11-08 10:02:00,fossil drops on view; urban outfitters sales drop
866,2011-11-08 08:14:00,urban posts weaker-than-expected sales growth
875,2011-09-07 06:31:00,updates advisories and surprises
887,2011-08-15 08:31:00,updates advisories and surprises
890,2011-08-15 04:39:00,urban outfitters profit falls 21percent tops estimates
891,2011-08-15 04:07:00,breaking                    urban outfitters shares rise 78percent after q2 report
897,2011-07-07 10:56:00,target paces retail stocks rally on june sales
900,2011-06-09 10:43:00,macy’s men’s wearhouse pace sector gain
901,2011-06-09 10:02:00,macy's up; hanesbrands down in mixed sector
902,2011-05-17 04:42:00,home depot leads retail gains; wal-mart falls
903,2011-05-17 08:54:00,urban outfitters shares rise 14percent in preopen trade
907,2011-05-16 05:36:00,urban outfitters profit falls 27percent; shares edge up
908,2011-05-16 05:31:00,updates advisories and surprises
909,2011-05-16 04:13:00,urban outfitters shares rise 28percent after q1 results
910,2011-05-16 04:11:00,urban outfitters posts lower profit as sales rise
917,2011-04-28 10:29:00,officemax liz claiborne pull down retail sector
920,2011-04-15 09:54:00,urban outfitters leads retail sector lower
921,2011-04-15 08:22:00,urban outfitters falls on an executive departure
923,2011-04-12 09:51:00,retail stocks rise; gildan in $350 million deal
924,2011-04-06 11:22:00,retail stocks up; urban outfitters zumiez rise
937,2011-03-07 11:31:00,updates advisories and surprises
941,2011-03-07 04:21:00,urban outfitters shares fall 7percent on earnings miss
949,2011-03-04 00:19:00,brighter retail sales highlight us week ahead
950,2011-03-01 00:34:00,retailers expect to meet february sales targets
955,2011-01-06 06:23:00,urban outfitters same-store sales flat
956,2011-01-06 06:06:00,urban outfitters 2-month sales up 15percent at $520m
960,2011-01-03 09:50:00,office depot barnes & noble up in rosier sector
962,2010-12-31 05:44:00,consumer discretionary best s&p 500 sector
969,2010-11-16 01:01:00,updates advisories and surprises
970,2010-11-16 11:21:00,wal-mart home depot bolster retail sector
973,2010-11-16 08:13:00,urban outfitters shares rise 46percent in preopen trade
978,2010-11-15 04:31:00,updates advisories and surprises
979,2010-11-15 04:21:00,urban outfitters shares rise 26percent after earnings
983,2010-11-15 10:12:00,retail stocks aided by retail sales; lowe’s up
995,2010-08-16 05:07:00,agilent urban outfitters shares rise after results
996,2010-08-16 04:31:00,updates advisories and surprises
1005,2010-07-27 04:59:00,us stocks torn between earnings hopes economic gloom
1006,2010-07-13 02:57:00,retail stocks rise as earnings cheer investors
1007,2010-07-13 10:01:00,urban outfitters cut at goldman; sector rises
1011,2010-06-25 03:46:00,retail stocks rise as consumer sentiment rises to 2-year high
1013,2010-05-13 07:31:00,updates advisories and surprises
1017,2010-05-13 02:35:00,kohl's urban outfitters lead retail sector lower
1020,2010-05-13 09:44:00,kohl's urban outfitters lead retail sector lower
1022,2010-05-13 06:04:00,urban outfitters q1 earnings 31c vs 18c
1023,2010-05-13 06:04:00,urban outfitters q1 total sales $480m vs $3848m
1031,2010-05-07 04:37:00,urban outfitters may buy back up to 8 mln shares
1032,2010-05-07 04:33:00,breaking                    urban outfitters may buy back up to 8 mln shares
1033,2010-05-06 06:17:00,urban outfitters' first-quarter sales rose 25percent
1034,2010-05-06 06:03:00,urban outfitters q1 sales up 25percent to $480 million
1039,2010-03-29 01:50:00,talbots shines on deal hope upgrade as sector drops
1040,2010-03-26 02:16:00,retail stocks rise; radioshack reportedly on the block
1050,2010-03-04 07:01:00,updates advisories and surprises
1053,2010-03-04 06:03:00,urban outfitters q4 sales $5885m vs $5081m
1054,2010-03-04 06:03:00,urban outfitters q4 earnings 45c vs 24c
1060,2010-02-04 05:01:00,updates advisories and surprises
1061,2010-02-04 06:25:00,urban outfitters sales hit record
1062,2010-02-04 06:20:00,correct urban outfitters comp store sales up 4percent
1063,2010-02-04 06:10:00,urban outfitters q4 sales up 16percent at $589m
